symbol,name,sector,score,signal,trend,momentum,money,value,close,lastDate,ret5,ret20,ret60,rs60,vsSma20,vsSma50,vsSma200,rsi,macdAboveSignal,adx,atrPct,cloud,fromHigh52,volRatio,support1,resistance1,netReal5B,netReal20B,power5,smt5B,liquidityB,eps,pe,sectorPE,peVsSector,entryLow,stop,target1,target2,rr,flags
زملارد,کشاورزی و دامپروری ملارد شیر,زراعت و خدمات وابسته,50.9,خنثی,90,20,22.4,57,1382,20260922,-10.5,-8.7,26.3,-13.5,-6.9,5.7,47.6,45.1,false,37.1,4.22,above,-13.8,0.7,1219,1597,-16.24,-6.94,1.06,8.47,24.08,183,7.55,8.07,-6.4,1324,1236,1597,1714,1.47,
وملت,سرمایه گذاری ملت,سرمایه گذاریها,50.9,خنثی,100,58,45,32,4470,20260922,4,10.6,30.6,-9.2,5.1,11.8,23,99.4,true,92.6,0.86,above,-0.7,1.92,3935,,0,0,5.58,0.53,0.07,491,9.1,,,4432,4394,4585,4661,1.5,نقدشوندگی پایین | اشباع خرید
ساروج,بین المللی ساروج بوشهر,سیمان، آهک و گچ,50.8,خنثی,48,30,43.5,78,56290,20260922,-6,2.9,-10.8,-50.6,-2.3,-0.5,8.8,44.8,false,17.8,3.91,below,-19.4,0.74,55678,57816,1.11,2.53,0.86,-2.55,5.11,11890,4.73,6.69,-29.2,55678,54578,57816,59275,0.89,
دزهراوی,داروسازی‌زهراوی‌,مواد و محصولات دارویی,50.8,خنثی,90,55,1,50,4530,20260922,-7.9,-1.3,110.4,70.6,-0.6,9.4,104.7,53.8,false,47.4,3.74,above,-9.6,0.65,4340,4735,-22.32,-77.44,0.57,-17.53,24.12,492,9.21,12.91,-28.7,4361,4255,4735,5010,0.75,خروج مستمر پول حقیقی
آباد,توریستی ورفاهی آبادگران ایران,هتل و رستوران,50.8,خنثی,90,30,26,45,934,20260922,-12.2,16.2,23.3,-16.5,-5.3,12,12.5,48.5,false,42.3,3.94,above,-32.7,0.58,901,977,-2.1,11.17,0.42,-11.97,9.51,3,311.33,307,1.4,901,883,977,1014,0.84,P/E بالا (311)
غگلستا,شیر پاستوریزه پگاه گلستان,محصولات غذایی و آشامیدنی به جز قند و شکر,50.7,خنثی,90,53,26.5,26,15850,20260922,-11.2,19.5,31.3,-8.5,-2.3,16.1,62.7,52.3,false,49.4,4.03,above,-14.7,0.46,14280,18590,-7.02,27.91,0.5,-11.4,13.38,1656,9.57,7.05,35.8,15211,14254,18590,19867,1.72,
غشان,شیرپاستوریزه‌پگاه‌خراسان‌,محصولات غذایی و آشامیدنی به جز قند و شکر,50.6,خنثی,100,75,6.6,16,17380,20260922,1.5,24.9,134.9,95,10.1,30.4,169.7,72,true,63.5,3.37,above,-4.5,0.83,15710,,-7.63,-16.92,0.94,-0.67,20.2,1497,11.61,8.53,36.1,16795,15916,19136,20307,1.2,واگرایی منفی RSI
پکرمان,گروه‌ صنعتی‌ بارز,لاستیک و پلاستیک,50.6,خنثی,90,45,1.5,57,7240,20260922,-7.3,7.1,10.3,-29.5,-0.1,10.7,12.2,52.8,false,35.6,3.5,above,-19.8,1.39,7057,7431,-70.25,-25.15,0.41,-78.48,28.5,953,7.6,8.21,-7.5,7057,6930,7431,7878,0.62,واگرایی منفی RSI
شپلی,پلی اکریل ایران,محصولات شیمیایی,50.5,خنثی,100,75,2,20,6950,20260922,-2,30.1,121.6,81.8,11,21.3,157.3,70.3,true,48.1,3,above,-6.1,0.66,6170,7400,-8.97,-0.83,0.53,-38.43,32.46,237,29.32,,,6741,6532,7400,7818,1.08,
فاذر,صنایع‌ آذرآب‌,ساخت محصولات فلزی,50.5,خنثی,90,65,28,14,1544,20260922,-11.5,1.3,62,22.2,-2.2,14.3,52.4,51.7,false,42.2,3.87,above,-14,0.58,1456,1638,0.93,-11.77,0.33,-37.34,32.02,60,25.73,7.54,241.3,1484,1426,1638,1796,0.8,
