symbol,name,sector,score,signal,trend,momentum,money,value,close,lastDate,ret5,ret20,ret60,rs60,vsSma20,vsSma50,vsSma200,rsi,macdAboveSignal,adx,atrPct,cloud,fromHigh52,volRatio,support1,resistance1,netReal5B,netReal20B,power5,smt5B,liquidityB,eps,pe,sectorPE,peVsSector,entryLow,stop,target1,target2,rr,flags
شکربن,کربن‌ ایران‌,محصولات شیمیایی,88.2,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,85,92.8,72,9810,20260922,14.1,22.9,64.3,24.5,11.6,24.1,58.4,74.3,true,40.4,3.16,above,-0.4,1.34,8940,,11.28,27.16,1.37,24.01,20.96,1486,6.6,9.63,-31.4,9500,9035,10740,11359,1.2,واگرایی منفی RSI
ولساپا,لیزینگ رایان‌ سایپا,سایر واسطه گریهای مالی,86.9,قوی ولی پرشده؛ منتظر پولبک,100,60,99.5,80,1382,20260922,10,40.2,64.1,24.2,20.3,41.5,86,85.1,true,53.2,2.84,above,-0.4,1.73,1076,,20.83,44.11,11.36,50.4,17.07,335,4.13,9.94,-58.5,1343,1304,1500,1578,1.5,اشباع خرید | فاصله زیاد از MA20
خکرمان,سرمایه گذاری آرمان گستر پاریز,خودرو و ساخت قطعات,85,قوی ولی پرشده؛ منتظر پولبک,100,70,84,80,11400,20260922,10.1,20,110.8,71,13.4,44.9,117.9,80.9,true,55.2,3.49,above,-2,1.86,10205,,50.94,48.27,2.26,-49.5,27.2,4303,2.65,5.87,-54.9,11002,10604,12594,13389,1.5,اشباع خرید
پارس,پتروشیمی پارس,محصولات شیمیایی,85,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,75,88,72,2758,20260922,1.5,24.5,42.9,3.1,11.2,23.2,32.1,70.1,true,37.3,3.23,above,-5.8,1.13,2617,2798,20.96,295.46,4.35,4.07,98.91,492,5.61,9.63,-41.8,2669,2572,2798,2929,0.22,
ونفت,سرمایه‌گذاری‌ صنعت‌ نفت‌,فراورده های نفتی، کک و سوخت هسته ای,84.2,ورود پله‌ای,100,85,68.8,80,11120,20260922,11.2,16.8,163,123.2,11,21.9,129.8,73.6,true,38.3,3.43,above,-3.7,1.41,10330,,23.93,26.67,1.41,-4.09,31.78,3216,3.46,6.26,-44.8,10739,10167,12263,13026,1.2,واگرایی منفی RSI
بترانس,ایران‌ ترانسفو,ماشین آلات و دستگاه‌های برقی,84,ورود پله‌ای,88,80,98.5,68,3550,20260922,4.7,14.9,27.4,-12.4,7.2,14.8,46.1,65.7,true,18.2,3.48,above,-0.6,1.79,3330,,231.15,332.58,2.31,106.56,89.81,747,4.75,6.15,-22.7,3426,3268,3921,4168,1.32,
ثجنوب,سرمایه گذاری مسکن جنوب,انبوه سازی، املاک و مستغلات,83.3,ورود پله‌ای,100,80,69.2,80,19120,20260922,4.6,9.4,26,-13.8,6.5,11.3,62.8,62.8,true,26.7,3.78,above,-4.1,1.66,18345,,35.43,64.85,1.03,-1.8,20.56,6363,3,23.59,-87.3,18398,17984,21287,22732,1.91,واگرایی منفی RSI
البرز,بیمه البرز,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,83,قوی ولی پرشده؛ منتظر پولبک,100,70,88,68,3082,20260922,9.9,47.2,60,20.2,18.4,40.7,60.7,86.4,true,61.2,3.09,above,0,0.71,2896,,11.68,138.28,3.98,19.51,27.98,758,4.07,4.59,-11.4,2987,2848,3368,3558,1.22,اشباع خرید | فاصله زیاد از MA20
شبصیر,تولیدات پتروشیمی قائد بصیر,محصولات شیمیایی,81.4,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,75,73.4,72,15580,20260922,0.4,28.9,57.6,17.8,10.3,31.7,73.4,73,true,58.1,3.3,above,-2.6,1.01,13440,16000,5.2,48.86,1.02,6.82,30.69,2884,5.4,8.01,-32.6,15065,14551,16000,17029,0.41,
کپرسپولیس,مجتمع کاشی و سنگ پرسپولیس یزد,کاشی و سرامیک,81.1,ورود پله‌ای,100,88,97,37,8760,20260922,6.1,13,32.2,-7.7,5,16.6,,64.2,true,35.3,3.6,above,-4.6,1.27,8440,,5.7,24.91,8.32,81.6,18.39,966,9.07,9.26,-2.1,8444,8282,9707,10338,1.98,واگرایی منفی RSI
محتشم,نساجی هدیه البرز مشهد,منسوجات,81,قوی ولی پرشده؛ منتظر پولبک,100,85,99,37,16110,20260922,8.9,24,57.9,18.1,15.6,37.4,73.6,76.6,true,44.3,2.91,above,-2.7,2.21,13580,,35.94,105.1,11.56,192.29,52.76,1926,8.36,7.72,8.3,15641,15172,17517,18455,1.5,واگرایی منفی RSI | فاصله زیاد از MA20
والماس,س. الماس حکمت ایرانیان,سرمایه گذاریها,81,قوی ولی پرشده؛ منتظر پولبک,100,75,84,60,2986,20260922,7.2,39.1,75.2,35.4,18,33.1,85.9,78.5,true,59.2,3.04,above,-4.7,2.36,2135,,20.13,24.55,11.05,-32.66,9.95,462,6.46,8.73,-26,2895,2805,3258,3439,1.5,اشباع خرید | فاصله زیاد از MA20
کویر,تولیدی فولاد سپید فراب کویر,فلزات اساسی,80.5,قوی ولی پرشده؛ منتظر پولبک,100,70,84,62,2714,20260922,12.8,45.1,75.8,36,23.7,47.8,89.1,90.2,true,55,2.7,above,-2.6,2.39,1983,,38.36,170,3.68,-27.34,63.89,292,9.29,13.48,-31,2641,2567,2934,3080,1.5,اشباع خرید | فاصله زیاد از MA20
چاپ,ص.چاپ وبسته بندی آسان قزوین,محصولات کاغذی,79.9,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,90,65,87.5,72,19650,20260922,-6.1,12.6,78.6,38.8,-2,21.8,,56.7,false,57.5,3.84,above,-12,1.6,12690,19890,34.39,70.52,5.19,133.56,33.03,2147,9.15,16.48,-44.5,18896,18143,19890,22340,0.16,
نمرینو,ایران‌ مرینوس‌,منسوجات,79.9,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,80,98.5,37,7680,20260922,7.1,16.5,25.5,-14.3,9.5,21.6,35.4,68.7,true,36.5,3.26,above,-9.7,1.51,7200,8054,3.96,5.09,2.8,7.28,3.73,953,8.06,7.72,4.4,7430,7075,8054,8509,0.62,واگرایی منفی RSI
دی,بانک دی,بانکها و موسسات اعتباری,79.4,قوی ولی پرشده؛ منتظر پولبک,100,85,79.5,50,1686,20260922,7,11.4,65.6,25.8,13.6,32.4,85.3,75.8,true,28.3,3.14,above,0,0.95,1515,,54.48,16.44,7.45,378.46,152.15,414,4.07,,,1633,1580,1845,1951,1.5,
قپیرا,فرآورده‌های‌غدایی‌وقندپیرانشهر,قند و شکر,79.4,قوی ولی پرشده؛ منتظر پولبک,100,60,99.5,50,24120,20260922,8.3,44.4,64.4,24.6,20.1,40.3,97.8,82.1,true,53.2,2.91,above,0,1.77,18820,,8.14,26.94,2.52,10.23,4.2,2920,8.26,9.8,-15.7,23418,22717,26225,27629,1.5,اشباع خرید | فاصله زیاد از MA20
پکویر,کویر تایر,لاستیک و پلاستیک,79.3,ورود پله‌ای,100,80,73,60,3710,20260922,6,15.3,25.4,-14.4,5.5,16.6,24.3,63.2,true,21.6,3.42,above,-5.4,0.92,3519,,64.67,102.34,2.2,-8.42,42.53,544,6.82,8.21,-16.9,3583,3455,4091,4345,1.49,
غشهد,شهد ایران ‌,محصولات غذایی و آشامیدنی به جز قند و شکر,79.1,قوی ولی پرشده؛ منتظر پولبک,100,58,90,60,10610,20260922,15.3,33.1,34.3,-5.5,21.7,33.8,69.9,86.7,true,26.8,2.92,above,-0.4,0.96,8380,,3.77,12.93,6.01,15.69,5.84,1466,7.24,8.53,-15.2,10300,9990,11540,12160,1.5,اشباع خرید | فاصله زیاد از MA20
وامین,سرمایه گذاری امین مهرگان,سرمایه گذاریها,78.6,قوی ولی پرشده؛ منتظر پولبک,100,60,99.5,47,6220,20260922,12.9,56.8,90.1,50.3,25.1,54.6,73.2,92.4,true,61.8,2.66,above,0,2.09,4458,,11.09,46.11,5.84,29.05,7.06,785,7.92,8.73,-9.2,6055,5889,6716,7047,1.5,اشباع خرید | فاصله زیاد از MA20
شغدیر,پتروشیمی غدیر,محصولات شیمیایی,78.5,ورود پله‌ای,100,75,62.1,72,78260,20260922,2.6,6.7,218.4,178.6,5.6,31.8,105.7,67.1,false,64.8,3.46,above,-4.8,1.12,73675,,96.92,102.88,1.2,-10.85,82.98,12273,6.38,9.63,-33.8,75552,72321,86385,91801,1.37,واگرایی منفی RSI
معین,بیمه ایران - معین,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,78.4,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,65,61.5,80,2967,20260922,-0.8,28,53.6,13.7,6.5,22,46.6,66.5,false,56.5,3.44,above,-5.2,0.63,2429,3130,-15.65,48.96,3.13,11.62,15.19,644,4.61,18.13,-74.6,2865,2763,3130,3334,0.8,
بتهران,بیمه اتکایی تهران رواک,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,78.3,قوی ولی پرشده؛ منتظر پولبک,100,70,75,62,8190,20260922,14.9,39.3,223.8,184,16,46.1,,84.4,true,78.3,2.81,above,0,0.56,7710,,8.88,24.91,3.49,-1.16,12.83,956,8.57,18.13,-52.7,7960,7614,8881,9341,1.2,واگرایی منفی RSI | اشباع خرید | فاصله زیاد از MA20
فغدیر,آهن و فولاد غدیر ایرانیان,فلزات اساسی,78.3,قوی ولی پرشده؛ منتظر پولبک,100,70,90,47,7300,20260922,15.5,77.2,98.6,58.8,29.5,59.9,85.2,95,true,61.4,2.25,above,0,0.54,5056,,27.11,215.01,4.19,28.24,13.02,974,7.49,8.05,-6.9,7136,6971,7793,8122,1.5,واگرایی منفی RSI | اشباع خرید | فاصله زیاد از MA20
مارون,پتروشیمی مارون,محصولات شیمیایی,78.3,قوی ولی پرشده؛ منتظر پولبک,100,70,90,47,26150,20260922,15.8,42.1,57.1,17.3,26.5,38,40.2,89.3,true,48.2,2.48,above,0,0.96,23679,,125.06,404.92,8.05,118.98,25.95,3493,7.49,8.01,-6.5,25501,24851,28098,29396,1.5,اشباع خرید | فاصله زیاد از MA20
داتام,گروه مالی داتام,سرمایه گذاریها,77.9,ورود پله‌ای,90,45,77.5,90,3660,20260922,-3.2,12.6,10.3,-29.6,-2.2,11,40.3,52.6,false,38.7,3.89,above,-11.8,0.78,3534,3930,4.93,3.6,2.32,8.09,4.33,1405,2.6,7.13,-63.5,3534,3463,3930,4150,1.37,
شپدیس,پتروشیمی پردیس,محصولات شیمیایی,77.3,ورود پله‌ای,100,70,63.3,70,13460,20260922,4.3,26.3,4.2,-35.6,7.6,17,29,63.8,true,43.1,3.43,above,-17.2,1.96,13270,14050,696.39,1930.58,0.81,-680.94,623.46,1879,7.16,9.63,-25.6,13270,13039,14050,14460,1.4,
ثاخت,بین‌المللی‌توسعه‌ساختمان,انبوه سازی، املاک و مستغلات,77.2,ورود پله‌ای,90,65,68.8,80,749,20260922,-2,3.7,43.8,3.9,-1,9.1,46.3,54.9,false,29.2,3.63,above,-7.3,1.08,740,783,5.61,7.35,1.27,13.01,27.31,199,3.76,6.61,-43.1,740,726,783,808,1.5,
غمینو,شرکت صنایع غذایی مینو شرق,محصولات غذایی و آشامیدنی به جز قند و شکر,77.1,ورود پله‌ای,100,90,69.5,47,8750,20260922,-1.5,9.8,64.5,24.6,4.9,9.7,97.6,59.6,true,32.9,4.04,above,-7.9,1.18,8410,,63.89,96.92,0.82,1.24,31.28,1231,7.11,7.05,0.8,8410,8233,9810,10517,2.05,
شجم,صنایع پتروشیمی تخت جمشید,محصولات شیمیایی,77.1,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,55,72.5,72,10380,20260922,1.5,17.2,0.3,-39.5,2.1,15.3,18,58.5,false,31.3,3.77,above,-6.1,1.34,9896,10845,4.93,-6.7,1.71,11.96,11.19,1969,5.27,8.01,-34.2,9989,9700,10845,11628,0.68,
نطرین,عطرین نخ قم,منسوجات,76.9,قوی ولی پرشده؛ منتظر پولبک,100,70,88.5,43,2460,20260922,15.8,30.3,64.5,24.7,23.3,32.7,93,85.4,true,33.1,2.76,above,0,0.17,2013,,4.54,14.88,17.04,7.41,9.48,196,12.55,14.29,-12.2,2392,2324,2664,2800,1.5,اشباع خرید | فاصله زیاد از MA20
ثپهران,توسعه ساختمان سپهر تهران,انبوه سازی، املاک و مستغلات,76.9,قوی ولی پرشده؛ منتظر پولبک,100,65,88.5,47,4730,20260922,13.4,22.2,24.2,-15.6,15.3,25.4,,79.7,true,31.7,2.84,above,-0.4,1.6,4326,,22.49,9.54,10.67,107.1,14.92,721,6.56,6.61,-0.8,4596,4461,5133,5402,1.5,واگرایی منفی RSI | اشباع خرید | فاصله زیاد از MA20
خریخت,صنایع‌ریخته‌گری‌ایران‌,خودرو و ساخت قطعات,76.9,قوی ولی پرشده؛ منتظر پولبک,100,70,99.5,32,1612,20260922,10.5,37.9,73.4,33.5,19,34.1,64.7,86.2,true,48.3,3.17,above,-3.2,1.44,1229,,5.67,11.47,1.69,3.34,5.03,185,8.71,,,1561,1510,1765,1867,1.5,واگرایی منفی RSI | اشباع خرید | فاصله زیاد از MA20
وفتخار,سرمایه گذاری افتخار سهام,سرمایه گذاریها,76.9,قوی ولی پرشده؛ منتظر پولبک,100,70,81.5,50,2016,20260922,8,23.7,68.2,28.4,16.2,30,34.8,81.8,true,45.7,3.37,above,-3,1.64,1910,2041,0.37,5.16,4.99,-8.82,5.01,531,3.8,,,1948,1876,2041,2177,0.18,اشباع خرید | فاصله زیاد از MA20
تفارس,تامین سرمایه خلیج فارس,فعالیتهای کمکی به نهادهای مالی واسط,76.7,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,90,65,64.7,82,1791,20260922,-4.7,17.4,125.6,85.8,-3.5,26.7,90.7,57.2,false,51,4.14,above,-12.2,0.34,1058,1834,1.83,10.02,1.07,0.04,13.5,329,5.44,9.46,-42.5,1717,1643,1834,2035,0.29,
سمگا,گروه سرمایه گذاری میراث فرهنگی,هتل و رستوران,76.2,ورود پله‌ای,100,65,64.7,68,3930,20260922,2.3,10.1,41.4,1.6,3.4,15.7,52.4,60.9,false,29.3,3.46,above,-3.9,1.63,3890,,85.2,85,0.89,-14.27,46.12,1002,3.92,4.69,-16.4,3890,3822,4337,4609,3.78,
ثرود,سرمایه‌گذاری مسکن زاینده رود,انبوه سازی، املاک و مستغلات,75.9,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,75,61.6,62,6450,20260922,-0.9,25.5,75.8,36,9.7,26,74.6,70.1,true,57.7,3.54,above,-5.6,1.99,5690,6830,1.82,3.62,0.9,1.39,7.46,595,10.84,23.59,-54,6222,5994,6830,7286,0.83,
شتوکا,توکا رنگ فولاد سپاهان,محصولات شیمیایی,75.5,قوی ولی پرشده؛ منتظر پولبک,100,60,74,60,11110,20260922,10.8,55.2,47,7.1,24.9,48.4,87.9,89.8,true,64.3,2.93,above,-0.4,1.35,7760,,-0.73,76.79,7.07,21.31,13.45,1545,7.19,8.01,-10.2,10785,10459,12086,12737,1.5,اشباع خرید | فاصله زیاد از MA20
تماوند,تامین سرمایه دماوند,فعالیتهای کمکی به نهادهای مالی واسط,75.5,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,90,70,67.8,70,2372,20260922,-0.1,8,1.4,-38.4,1.8,8.5,7.8,55.3,true,27.1,3.99,above,-10.1,2.34,2323,2430,20.57,26.63,0.87,5.37,5.76,337,7.04,9.46,-25.6,2323,2276,2430,2521,0.6,
بازرگام,پست پیشگامان,اطلاعات و ارتباطات,75.1,قوی ولی پرشده؛ منتظر پولبک,100,70,89.3,35,5090,20260922,9.5,33.6,62.2,22.3,14.2,32.6,40.6,81.7,true,43.2,3.23,above,-10.1,1.32,4936,5158,40.14,123.7,1.23,23.72,25.3,341,14.93,,,4936,4854,5158,5339,0.29,اشباع خرید
سکرما,سیمان‌ کرمان‌,سیمان، آهک و گچ,75,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,91,45,84.6,70,69610,20260922,-3.3,6.6,-13.5,-53.3,0.5,6.7,31.3,52.9,false,25.7,4.03,inside,-19.8,0.95,63380,72500,16.14,22.23,1.42,10.35,7.56,11282,6.17,7.14,-13.6,66805,62597,72500,76360,0.41,
دیران,ایران‌دارو,مواد و محصولات دارویی,74.9,ورود پله‌ای,100,65,67.6,60,16620,20260922,-8.7,22.2,195.2,155.4,0.2,36.7,171.2,61.6,false,78.6,2.94,above,-14.3,0.31,5920,19400,2.8,36.37,1.24,4.55,38.48,1532,10.85,12.91,-16,16132,15644,19400,20376,2.85,
ثامید,توسعه و عمران امید,انبوه سازی، املاک و مستغلات,74.8,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,90,30,77,90,1764,20260922,-9.5,6.9,21.2,-18.6,-3.2,7.9,39.9,48.9,false,25,3.92,above,-11.8,1.05,1710,1836,14.71,9.75,4.38,54.39,15.81,547,3.22,6.61,-51.2,1710,1675,1836,2001,0.81,واگرایی منفی RSI
بزندگی,بیمه زندگی آگاه,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,74.8,قوی ولی پرشده؛ منتظر پولبک,100,70,98,25,6040,20260922,15.5,31.6,118,78.1,19.6,42.3,124.4,92.3,true,74.1,2.45,above,0,1.85,4840,,28.77,25.43,77.5,31.99,3.29,328,18.41,,,5892,5744,6485,6781,1.5,اشباع خرید | فاصله زیاد از MA20
پی پاد,پرداخت الکترونیک پاسارگاد,رایانه و فعالیت‌های وابسته به آن,74.2,ورود پله‌ای,90,65,54.7,82,7130,20260922,-5.7,7.7,113.9,74.1,-5.5,23.8,89.9,54.4,false,63.2,3.79,above,-14.6,0.71,3990,8350,14.09,-26.37,1.29,54.72,37.61,1006,7.09,18.19,-61,6860,6589,8350,8891,2.26,
ورازی,بیمه رازی,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,74,زیر نظر,100,70,100,20,1745,20260922,15,36.9,108.5,68.7,25.7,42.8,82.4,88.3,true,45.6,2.92,above,0,1.91,1295,,10.72,21.22,2.03,27.77,5.69,18,96.94,,,1694,1643,1898,2000,1.5,اشباع خرید | فاصله زیاد از MA20 | P/E بالا (97)
خپویش,سازه‌ پویش‌,خودرو و ساخت قطعات,73.9,قوی ولی پرشده؛ منتظر پولبک,100,70,99.5,20,4870,20260922,11.7,37.2,75.6,35.7,19.8,41.8,66.3,87.4,true,55,2.86,above,-0.4,1.39,4001,,11.54,26.23,9.58,24.11,7.08,196,24.85,,,4731,4591,5288,5567,1.5,اشباع خرید | فاصله زیاد از MA20
آسیا,بیمه آسیا,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,73.7,ورود پله‌ای,70,50,81,90,3630,20260922,-10.4,3.1,57,17.2,-6.9,6.6,77.2,45.7,false,37.4,4.19,above,-13.2,0.91,3540,4170,19.38,62.08,1.28,8.27,22.61,1869,1.94,4.59,-57.7,3540,3464,4170,4474,3.25,
کگاز,شیشه‌ و گاز,سایر محصولات کانی غیرفلزی,73.6,قوی ولی پرشده؛ منتظر پولبک,100,75,64.5,50,54930,20260922,1.4,22.1,53.3,13.4,12.3,29.5,70.7,71.8,true,47.7,3.38,above,-5.3,1.73,47264,,54.01,107.49,0.51,-45.77,16.29,5055,10.87,12.75,-14.8,53073,51217,60500,64213,1.5,
قشهد,شهد,قند و شکر,73.5,قوی ولی پرشده؛ منتظر پولبک,100,60,89,37,3980,20260922,7,51.6,160.9,121,18.1,39.9,137.4,83.6,true,68.1,3.09,above,0,1.09,2908,,17.59,43.62,1.86,15.4,7.34,416,9.57,9.8,-2.4,3857,3734,4349,4595,1.5,واگرایی منفی RSI | اشباع خرید | فاصله زیاد از MA20
پاسا,ایران‌یاساتایرورابر,لاستیک و پلاستیک,73.3,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,90,65,53,80,10190,20260922,-4.1,13.5,54.4,14.6,-0.3,21.1,68.7,59.4,false,52.6,3.95,above,-8.4,0.95,9910,10660,22.2,71.68,0.68,-44.83,30.98,2053,4.96,8.21,-39.5,9910,9709,10660,11120,0.98,واگرایی منفی RSI
حسیر,ریل سیر کوثر,حمل ونقل، انبارداری و ارتباطات,72.9,قوی ولی پرشده؛ منتظر پولبک,100,85,87.5,16,8080,20260922,7.3,19.4,62.3,22.5,11.6,30.7,87,78.6,true,60.7,3.39,above,-0.1,1.17,7360,,12.55,32.47,7.99,8.76,17.72,758,10.66,7.68,38.8,7806,7394,8903,9452,1.2,واگرایی منفی RSI | اشباع خرید
وساپا,سرمایه‌گذاری‌ سایپا,سرمایه گذاریها,72.8,ورود پله‌ای,100,65,39,80,9580,20260922,2,20.8,62.9,23,6.7,30.1,71.6,69.4,false,45.7,3.74,above,-5.1,1.23,8870,,49.18,-28.3,0.88,-165.88,289.1,2887,3.32,7.13,-53.5,9221,8691,10656,11373,1.21,
رایا,بیمه اتکایی رایا,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,72.6,قوی ولی پرشده؛ منتظر پولبک,100,85,52.6,50,5450,20260922,9.4,17,198.1,158.3,11.1,29.9,,76.5,true,62,3.13,above,-0.4,0.8,5040,,14.75,-14.93,1.2,0.19,12,1471,3.7,,,5280,5024,5961,6302,1.2,واگرایی منفی RSI | خروج مستمر پول حقیقی
پترول,گ.س.وت.ص.پتروشیمی خلیج فارس,محصولات شیمیایی,72.5,ورود پله‌ای,100,65,28,90,2498,20260922,-7.2,13.4,76.6,36.8,1.8,15.2,55.7,57.3,false,41.2,3.92,above,-11.6,0.9,2398,2825,-22.79,148.35,0.52,-91.61,73.42,710,3.52,9.63,-63.5,2400,2349,2825,3021,2.2,
وپویا,سرمایه گذاری پویا,سرمایه گذاریها,72.3,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,65,37,80,2580,20260922,0.7,13.2,42.9,3,3.7,20.4,51.2,63,false,44.7,3.71,above,-6.9,0.94,2434,2770,-0.09,-4.42,6.11,23.41,7.67,654,3.94,8.73,-54.8,2484,2386,2770,2962,0.98,واگرایی منفی RSI
وپارس,بانک‌پارسیان‌,بانکها و موسسات اعتباری,72.2,قوی ولی پرشده؛ منتظر پولبک,100,60,40.8,80,2308,20260922,3,49.8,111.8,72,15.3,47.1,113.2,82.6,true,77.5,3.31,above,-2.5,1.23,1244,2366,-270.88,485.45,0.93,-320,404.51,668,3.46,5.4,-36,2232,2155,2366,2519,0.38,اشباع خرید | فاصله زیاد از MA20
حآفرین,ریل پرداز نو آفرین,حمل ونقل، انبارداری و ارتباطات,72.1,ورود پله‌ای,100,65,26.5,90,2840,20260922,-13.2,32.7,73.4,33.6,2.7,32.8,89.2,60.1,false,66,3.5,above,-17.4,0.91,1834,3440,-67.77,161.5,0.27,-69.62,34.06,704,4.03,7.68,-47.5,2741,2641,3440,3639,3.02,
فارس,صنایع پتروشیمی خلیج فارس,محصولات شیمیایی,72,قوی ولی پرشده؛ منتظر پولبک,100,63,67.7,50,12470,20260922,2.2,58.2,36.7,-3.1,12.8,27.8,66.4,72.1,true,38.5,3.29,above,-4.4,1.54,10430,,110.99,1156.56,0.99,-416.97,445.93,1498,8.32,9.63,-13.6,12060,11651,13699,14518,1.5,
دلر,داروسازی‌ اکسیر,مواد و محصولات دارویی,72,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,85,65,62,72,25220,20260922,-2.2,-5,104.3,64.4,-1.3,5.5,102.6,51.9,false,29.3,4.02,above,-11,0.55,24055,26000,23.62,-81.48,1.95,10.58,41.23,2845,8.86,12.91,-31.3,24206,23548,26000,27595,0.47,واگرایی منفی RSI | خروج مستمر پول حقیقی
ومشان,سرمایه گذاری مشانیر,سرمایه گذاریها,71.9,زیر نظر,100,73,89,20,30380,20260922,22.3,20.1,36.5,-3.3,15.7,23.3,87.3,77.5,true,27.6,3.7,above,0,1.01,26683,,21.91,12.47,3.73,18.61,6.9,143,212.45,,,29255,28130,33754,36004,1.5,فاصله زیاد از MA20 | P/E بالا (212)
قچار,فراوردههای غذایی وقند چهارمحال,قند و شکر,71.7,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,90,44.7,50,5580,20260922,1.1,10.1,78.9,39.1,6.9,23.6,85.9,69.7,true,59.7,3.7,above,-4.6,1.17,5354,5850,2.94,12.22,0.87,-29.22,36.62,655,8.52,9.57,-11,5373,5250,5850,6263,0.82,
سرچشمه,سرمایه گذاری مس سرچشمه,سرمایه گذاریها,71.6,قوی ولی پرشده؛ منتظر پولبک,100,60,58.5,60,7990,20260922,6.4,63.4,122.3,82.5,20.6,44.1,100.5,85.8,true,65,2.92,above,-4.2,2.62,5566,,-27.4,215,1.84,-120.59,56.46,1231,6.49,8.73,-25.7,7757,7524,8689,9155,1.5,اشباع خرید | فاصله زیاد از MA20
چکاوه,صنایع‌کاغذسازی‌کاوه‌,محصولات کاغذی,71.4,زیر نظر,100,70,99.5,10,12870,20260922,15.7,33.8,104.6,64.8,21.1,39.2,76.3,85.3,true,52.9,2.68,above,0,1.85,12250,,34.03,39.78,8.83,36.56,5.65,,,16.48,,12524,12077,13907,14598,1.31,اشباع خرید | فاصله زیاد از MA20 | بدون EPS مثبت
اسیاتک,انتقال داده های آسیاتک,اطلاعات و ارتباطات,71.4,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,90,65,45.4,80,4130,20260922,-5.9,6.4,74.1,34.3,-0.9,24.7,69.2,61,false,54.1,3.9,above,-7.8,0.65,3890,4470,0.56,4.95,0.9,-21.42,51.28,1000,4.13,7.97,-48.2,3969,3809,4470,4792,1.06,واگرایی منفی RSI
سنوین,سرمایه گذاری اقتصاد نوین,سرمایه گذاریها,71.3,ورود پله‌ای,100,100,83,42,3560,20260922,9.2,21.9,53.6,13.8,8.2,17.8,45,68.4,true,26.9,3.63,above,-0.3,1.47,3500,,4.7,5.01,4.88,-0.62,2.86,612,5.82,,,3500,3435,3948,4206,3.11,نقدشوندگی پایین | واگرایی منفی RSI
وملی,گروه‌ صنعتی‌ ملی‌ (هلدینگ‌,دباغی، پرداخت چرم و ساخت انواع پاپوش,71.1,زیر نظر,100,70,73.5,35,285200,20260922,-5.4,16.5,21.6,-18.2,4.3,20.7,39.5,61.5,true,48.2,3.69,above,-10.8,1.23,267300,319700,8.22,21.25,2.49,-23.09,14.26,3197,89.21,87.3,2.2,274685,262042,319700,340731,1.49,P/E بالا (89)
آریا,پلیمر آریا ساسول,محصولات شیمیایی,70.9,قوی ولی پرشده؛ منتظر پولبک,100,50,99.5,24,44470,20260922,12.7,43.1,25.4,-14.4,21.8,39.9,44.9,90.3,true,48.5,3.15,above,0,2.31,42434,,227.08,332.7,10.06,282.29,56.01,4878,9.12,8.01,13.8,43071,41735,48667,51466,1.53,اشباع خرید | فاصله زیاد از MA20
غمهرا,تولیدی‌مهرام‌,محصولات غذایی و آشامیدنی به جز قند و شکر,70.8,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,90,54,37,20650,20260922,-0.6,16.5,61.9,22.1,7.3,13.4,87.4,62.8,true,33.5,3.64,above,-8.8,1.91,18850,,66.83,100.22,0.77,-40.17,19.64,2564,8.05,8.53,-5.6,19899,18771,22904,24407,1.2,
نخریس,نخریسی و نساجی خسروی خراسان,منسوجات,70.8,قوی ولی پرشده؛ منتظر پولبک,100,75,53,50,22850,20260922,5.6,20.5,94.7,54.9,12.2,34.7,81.2,77.2,true,48.4,3.4,above,-3.1,1.02,20700,,-3.17,2.18,4.63,23.56,10.4,2027,11.27,14.29,-21.1,22073,20906,25182,26737,1.2,واگرایی منفی RSI
