symbol,name,sector,score,signal,trend,momentum,money,value,close,lastDate,ret5,ret20,ret60,rs60,vsSma20,vsSma50,vsSma200,rsi,lockedDays20,sellQueueDays5,macdAboveSignal,adx,atrPct,cloud,fromHigh52,volRatio,support1,resistance1,netReal5B,netReal20B,power5,smt5B,liquidityB,eps,pe,sectorPE,peVsSector,entryLow,stop,target1,target2,rr,flags
شکربن,کربن‌ ایران‌,محصولات شیمیایی,80.8,قوی ولی پرشده؛ منتظر پولبک,100,85,75.2,60,10320,20260926,13.9,22.6,63.5,24.9,15,28.3,65.2,78.9,1,0,true,43.1,2.98,above,0,1.39,8940,,5.19,4.58,1.09,8.77,22.71,1486,6.94,9.63,-27.9,10012,9704,11244,11859,1.5,واگرایی منفی RSI | اشباع خرید | عرضه حقوقی به حقیقی (-22 میلیارد تومان در ۲۰ روز) | 65٪ بالای MA200 | واگرایی منفی
وپارس,بانک‌پارسیان‌,بانکها و موسسات اعتباری,80.8,پرریسک؛ صفی/رشد عمودی,100,75,63,80,2316,20260926,2.5,42.3,100.4,61.8,11.6,43.4,110.9,76.8,7,0,true,77.1,3.26,above,-2.6,1.01,2193,2366,-48.47,487.26,2.2,32.65,432.09,668,3.47,5.4,-35.8,2241,2155,2366,2517,0.31,سهم صفی: 7 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (100٪ در ۶۰ روز، 43٪ بالای MA50) | عرضه حقوقی به حقیقی (-454 میلیارد تومان در ۲۰ روز) | 111٪ بالای MA200
فخاس,فولاد خراسان,فلزات اساسی,80.8,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,65,89,62,3390,20260926,1.2,16.9,60.8,22.2,5.3,25.2,65.5,66.2,4,0,false,48.7,3.44,above,-5.8,0.77,3047,3600,0.65,58.53,7.34,14.88,22.8,363,9.34,13.48,-30.7,3274,3099,3600,3833,0.72,واگرایی منفی RSI | عرضه حقوقی به حقیقی (-54 میلیارد تومان در ۲۰ روز) | 66٪ بالای MA200 | واگرایی منفی | حد ضرر دور (8.6٪) | شناوری کم (4٪)
حتاید,تایدواترخاورمیانه,حمل ونقل، انبارداری و ارتباطات,80.7,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,53,88.5,72,8630,20260926,1.5,13.9,31.6,-7,3.8,10.6,41.2,59.5,3,0,false,28.2,3.52,above,-5.5,0.62,8190,9074,33.94,50.31,1.67,29.22,40.88,1376,6.27,19.33,-67.6,8326,8038,9074,9682,0.75,عرضه حقوقی به حقیقی (-44 میلیارد تومان در ۲۰ روز)
ونفت,سرمایه‌گذاری‌ صنعت‌ نفت‌,فراورده های نفتی، کک و سوخت هسته ای,80.5,پرریسک؛ صفی/رشد عمودی,100,90,50.1,80,10520,20260926,-0.7,4.9,147.5,108.9,4.1,12.8,113.8,60,3,1,true,37.6,3.55,above,-8.9,1.05,10330,,9.94,23.63,1.08,-34.16,31.82,3216,3.27,6.26,-47.7,10330,10143,11640,12387,2.97,واگرایی منفی RSI | رشد عمودی (148٪ در ۶۰ روز، 13٪ بالای MA50) | عرضه حقوقی به حقیقی (-26 میلیارد تومان در ۲۰ روز) | 114٪ بالای MA200 | واگرایی منفی | صف فروش در ۵ روز اخیر
وپویا,سرمایه گذاری پویا,سرمایه گذاریها,80.5,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,75,62,80,2734,20260926,11.6,15.7,53.2,14.6,8.3,25.4,58.8,69.9,2,0,false,43.7,3.41,above,-1.3,1.06,2434,2770,2.06,-3.6,35.11,30.95,8.13,654,4.18,8.73,-52.1,2641,2547,2770,2957,0.19,واگرایی منفی RSI | 59٪ بالای MA200 | واگرایی منفی | نقدشوندگی کمتر از ۱۰ میلیارد تومان
داتام,گروه مالی داتام,سرمایه گذاریها,80.5,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,55,78,80,3820,20260926,1.9,11,15.9,-22.7,1,14.7,45,59.2,1,1,false,36,3.59,above,-8,0.83,3534,3930,5.41,2.56,2.67,10.53,4.42,1405,2.72,7.13,-61.9,3683,3477,3930,4150,0.32,عرضه حقوقی به حقیقی (-2 میلیارد تومان در ۲۰ روز) | 204٪ بالای کف ۵۲ هفته | حد ضرر دور (9.0٪) | نقدشوندگی کمتر از ۱۰ میلیارد تومان | شناوری کم (5٪) | صف فروش در ۵ روز اخیر
بترانس,ایران‌ ترانسفو,ماشین آلات و دستگاه‌های برقی,80.2,قوی ولی پرریسک؛ فعلاً ورود نه,88,80,83,68,3550,20260926,8.2,9.2,20.2,-18.4,6,13.6,44.9,62.7,1,0,true,19.5,3.39,above,-2.7,2.04,3330,,158.43,230.11,2.2,-26.07,100.68,747,4.75,6.15,-22.7,3430,3270,3911,4151,1.29,عرضه حقوقی به حقیقی (-300 میلیارد تومان در ۲۰ روز) | حد ضرر دور (7.9٪)
قپیرا,فرآورده‌های‌غدایی‌وقندپیرانشهر,قند و شکر,78.8,پرریسک؛ صفی/رشد عمودی,100,70,89,50,25530,20260926,8.9,50.2,73.7,35.1,22,44.6,106.3,85.4,6,0,true,57.4,2.76,above,-0.2,1.14,18820,,3.48,27.6,2.28,8.47,4.47,2920,8.74,9.8,-10.8,24824,24119,27647,29058,1.5,اشباع خرید | فاصله زیاد از MA20 | سهم صفی: 6 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (74٪ در ۶۰ روز، 45٪ بالای MA50) | عرضه حقوقی به حقیقی (-27 میلیارد تومان در ۲۰ روز) | 106٪ بالای MA200 | نقدشوندگی کمتر از ۱۰ میلیارد تومان
شتوکا,توکا رنگ فولاد سپاهان,محصولات شیمیایی,78.5,پرریسک؛ صفی/رشد عمودی,100,60,99,47,11780,20260926,10.8,67.6,61.4,22.8,25.9,53.2,96.9,91.8,14,0,true,67.9,2.77,above,0,1.44,7760,,1.91,78.07,9.89,24.19,13.25,1545,7.62,8.01,-4.8,11453,11126,12760,13414,1.5,اشباع خرید | فاصله زیاد از MA20 | سهم صفی: 14 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (61٪ در ۶۰ روز، 53٪ بالای MA50) | عرضه حقوقی به حقیقی (-73 میلیارد تومان در ۲۰ روز) | 97٪ بالای MA200
فغدیر,آهن و فولاد غدیر ایرانیان,فلزات اساسی,78.3,پرریسک؛ صفی/رشد عمودی,100,70,90,47,7730,20260926,15.5,77.3,123.4,84.8,29.5,63.7,94.5,95.9,20,0,true,65.7,2.22,above,0,0.38,5056,,13.3,205.28,3.57,17.73,12.85,974,7.94,8.05,-1.4,7559,7387,8244,8587,1.5,واگرایی منفی RSI | اشباع خرید | فاصله زیاد از MA20 | سهم صفی: 20 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (123٪ در ۶۰ روز، 64٪ بالای MA50) | عرضه حقوقی به حقیقی (-200 میلیارد تومان در ۲۰ روز) | 94٪ بالای MA200 | واگرایی منفی
مارون,پتروشیمی مارون,محصولات شیمیایی,78.3,پرریسک؛ صفی/رشد عمودی,100,70,90,47,27730,20260926,15.8,57.5,60,21.4,28.2,43.7,47.9,91.4,13,0,true,53.4,2.41,above,0,0.26,23679,,27.15,407.87,6.12,30.21,25.93,3493,7.94,8.01,-0.9,27061,26393,29736,31074,1.5,اشباع خرید | فاصله زیاد از MA20 | سهم صفی: 13 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (60٪ در ۶۰ روز، 44٪ بالای MA50) | عرضه حقوقی به حقیقی (-402 میلیارد تومان در ۲۰ روز)
وامین,سرمایه گذاری امین مهرگان,سرمایه گذاریها,78.1,پرریسک؛ صفی/رشد عمودی,100,70,99.5,37,6540,20260926,12,59.5,108.6,70,25.5,57.7,80.4,93.7,9,0,true,65.2,2.63,above,-0.8,1.93,4458,,22.04,62.4,7.35,28.92,9.26,785,8.33,8.73,-4.6,6368,6195,7057,7402,1.5,اشباع خرید | فاصله زیاد از MA20 | سهم صفی: 9 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (109٪ در ۶۰ روز، 58٪ بالای MA50) | عرضه حقوقی به حقیقی (-44 میلیارد تومان در ۲۰ روز) | 80٪ بالای MA200 | نقدشوندگی کمتر از ۱۰ میلیارد تومان
ثپهران,توسعه ساختمان سپهر تهران,انبوه سازی، املاک و مستغلات,78.1,پرریسک؛ صفی/رشد عمودی,100,58,99,47,5000,20260926,13.6,26.9,35.6,-3,19,30.5,,83.8,2,0,true,36.5,2.7,above,0,1.37,4326,,29.77,28.43,13.63,97.43,15.5,721,6.93,6.61,4.9,4865,4730,5406,5676,1.5,واگرایی منفی RSI | اشباع خرید | فاصله زیاد از MA20 | رشد عمودی (36٪ در ۶۰ روز، 31٪ بالای MA50) | واگرایی منفی | شناوری کم (11٪)
ثجنوب,سرمایه گذاری مسکن جنوب,انبوه سازی، املاک و مستغلات,77.6,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,70,54.3,80,18730,20260926,-3.3,3.5,16.8,-21.8,3.9,9,57.9,57.7,1,0,true,25.6,3.95,above,-6.1,1.33,18345,18950,5.55,73.87,0.83,-31.89,21.76,6363,2.94,23.59,-87.5,18345,17975,18950,19940,0.29,عرضه حقوقی به حقیقی (-69 میلیارد تومان در ۲۰ روز) | 58٪ بالای MA200
معین,بیمه ایران - معین,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,77.5,پرریسک؛ صفی/رشد عمودی,100,60,62,80,3130,20260926,9.7,31.3,63.6,25,9.5,26.5,53.6,72.5,6,0,false,56.4,3.19,above,0,0.88,2767,,-5.91,25.63,4.75,30.44,14.21,644,4.86,18.13,-73.2,3030,2931,3429,3629,1.5,سهم صفی: 6 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | عرضه حقوقی به حقیقی (-18 میلیارد تومان در ۲۰ روز) | 54٪ بالای MA200
شغدیر,پتروشیمی غدیر,محصولات شیمیایی,76.9,پرریسک؛ صفی/رشد عمودی,100,65,63.6,72,77950,20260926,1.8,12.3,223.8,185.2,3.9,27.2,102.4,63.5,1,0,false,64.4,3.41,above,-5.2,1.26,73675,,74.96,149.34,0.87,-46.98,73.74,12273,6.35,9.63,-34,75288,72344,85935,91259,1.42,واگرایی منفی RSI | رشد عمودی (224٪ در ۶۰ روز، 27٪ بالای MA50) | عرضه حقوقی به حقیقی (-162 میلیارد تومان در ۲۰ روز) | 102٪ بالای MA200 | واگرایی منفی | حد ضرر دور (7.2٪)
دیران,ایران‌دارو,مواد و محصولات دارویی,76.9,پرریسک؛ صفی/رشد عمودی,100,75,77.5,50,17620,20260926,2.8,24.4,211.3,172.7,4.2,39.7,180.9,67.7,15,2,false,73.7,2.78,above,-9.2,0.75,16140,19400,6.33,2.65,2.72,9.05,32.13,1532,11.5,12.91,-10.9,17130,16641,19400,20379,1.82,سهم صفی: 15 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (211٪ در ۶۰ روز، 40٪ بالای MA50) | 181٪ بالای MA200 | صف فروش در ۵ روز اخیر
سکرما,سیمان‌ کرمان‌,سیمان، آهک و گچ,76.8,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,55,73,70,70950,20260926,1.9,4.9,-6.2,-44.9,1.8,8,33,56.5,1,0,false,25.6,3.76,above,-18.2,0.57,68970,72500,3.97,26.88,0.98,0.71,7.2,11282,6.29,7.14,-11.9,68970,67637,72500,76360,0.47,عرضه حقوقی به حقیقی (-26 میلیارد تومان در ۲۰ روز) | نقدشوندگی کمتر از ۱۰ میلیارد تومان
زبینا,کشاورزی و دامپروری بینالود,زراعت و خدمات وابسته,76.4,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,95,75,84.5,47,14330,20260926,4.6,1.6,40.9,2.3,2,9.8,86.9,57.9,1,1,false,26.5,3.73,above,-8.4,1.2,13335,15650,13.38,40.26,1.5,10.84,18.02,1911,7.5,8.07,-7.1,13796,13068,15650,16718,1.05,87٪ بالای MA200 | حد ضرر دور (8.8٪) | صف فروش در ۵ روز اخیر
دی,بانک دی,بانکها و موسسات اعتباری,76.4,پرریسک؛ صفی/رشد عمودی,100,70,79.5,50,1788,20260926,13,25.2,65.7,27.1,17.9,37.4,94,80.3,10,0,true,29.4,2.94,above,0,0.71,1525,,71.97,61.92,5.84,305.53,135.36,414,4.32,,,1735,1683,1946,2051,1.5,اشباع خرید | فاصله زیاد از MA20 | سهم صفی: 10 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (66٪ در ۶۰ روز، 37٪ بالای MA50) | 94٪ بالای MA200
البرز,بیمه البرز,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,76.1,پرریسک؛ صفی/رشد عمودی,100,70,73.5,55,3250,20260926,15,52.4,59.7,21.1,19.8,45.1,68.2,89,9,0,true,63.6,2.9,above,-0.3,1.16,2896,,34.61,163.72,6.95,-15.51,35.45,758,4.29,4.59,-6.6,3156,3061,3533,3722,1.5,اشباع خرید | فاصله زیاد از MA20 | سهم صفی: 9 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (60٪ در ۶۰ روز، 45٪ بالای MA50) | عرضه حقوقی به حقیقی (-140 میلیارد تومان در ۲۰ روز) | 68٪ بالای MA200 | شناوری کم (13٪)
توسن,توسعه سامانه ی نرم افزاری نگین,رایانه و فعالیت‌های وابسته به آن,75.9,پرریسک؛ صفی/رشد عمودی,100,75,51.6,72,12210,20260926,4.2,14,125.4,86.8,2.1,18.6,146.6,63.3,2,0,false,55,3.87,above,-8.5,1.13,11480,13340,2.01,-27.23,1.19,20.71,40.79,2242,5.45,8.89,-38.7,11737,11243,13340,14286,1.17,رشد عمودی (125٪ در ۶۰ روز، 19٪ بالای MA50) | 147٪ بالای MA200 | حد ضرر دور (7.9٪)
کمنگنز,معادن‌منگنزایران‌,استخراج کانه های فلزی,75.8,قوی ولی پرریسک؛ فعلاً ورود نه,100,60,63,72,9730,20260926,6.8,14.3,67.7,29.1,6.5,22.7,98.9,70.2,4,0,false,56.6,3.35,above,0,0.82,9455,,5.47,-17.43,5.25,19.07,24.78,1317,7.39,13.76,-46.3,9455,9292,10709,11361,2.23,واگرایی منفی RSI | 99٪ بالای MA200 | واگرایی منفی
پی پاد,پرداخت الکترونیک پاسارگاد,رایانه و فعالیت‌های وابسته به آن,75.8,پرریسک؛ صفی/رشد عمودی,90,75,63,72,7530,20260926,-0.4,7.4,121.7,83.1,-0.8,27.3,98,62.7,7,1,false,56.3,3.51,above,-9.8,0.81,7190,8350,35.85,-2.13,7.97,72.77,38.51,1006,7.49,18.19,-58.9,7266,7058,8350,8878,1.74,سهم صفی: 7 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (122٪ در ۶۰ روز، 27٪ بالای MA50) | 98٪ بالای MA200 | شناوری کم (12٪) | صف فروش در ۵ روز اخیر
شکلر,نیروکلر,محصولات شیمیایی,75.5,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,75,62,60,30130,20260926,10.1,14.7,52.9,14.3,6.8,26.5,84.7,68.3,5,0,false,50.6,3.29,above,-3.1,0.66,28360,31080,13.56,-50.61,2.92,16.92,28.84,3984,7.56,9.63,-21.5,29140,27865,31080,33060,0.42,خروج مستمر پول حقیقی | 85٪ بالای MA200 | حد ضرر دور (7.5٪)
قشهد,شهد,قند و شکر,75.4,پرریسک؛ صفی/رشد عمودی,100,70,88.5,37,4100,20260926,10.2,47.2,166.7,128.1,17,39.9,140.4,85.4,9,0,true,68.8,3.18,above,-2.6,0.88,2908,,15.54,37.14,2.02,17.25,7.44,416,9.86,9.8,0.6,3969,3839,4492,4753,1.5,واگرایی منفی RSI | اشباع خرید | فاصله زیاد از MA20 | سهم صفی: 9 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (167٪ در ۶۰ روز، 40٪ بالای MA50) | عرضه حقوقی به حقیقی (-38 میلیارد تومان در ۲۰ روز) | 140٪ بالای MA200 | واگرایی منفی | نقدشوندگی کمتر از ۱۰ میلیارد تومان
پاسا,ایران‌یاساتایرورابر,لاستیک و پلاستیک,75.2,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,90,65,60.7,80,10150,20260926,-5.2,6.7,57.9,19.3,-1.6,18.3,66.3,56.7,0,0,false,49.5,3.85,above,-8.7,0.67,9910,10660,15.37,62.92,1.09,-0.65,31.58,2053,4.94,8.21,-39.8,9910,9714,10660,11120,1.17,واگرایی منفی RSI | عرضه حقوقی به حقیقی (-56 میلیارد تومان در ۲۰ روز) | 66٪ بالای MA200 | واگرایی منفی
دلقما,دارویی‌ لقمان‌,مواد و محصولات دارویی,75,پرریسک؛ صفی/رشد عمودی,95,65,62,72,9730,20260926,5.2,-6.3,199.6,161,1.4,20.4,174.4,59.8,5,1,false,43.2,3.86,above,-16,0.61,9630,10600,88.95,-120.6,8.26,57.56,87.48,1109,8.77,12.91,-32,9630,9442,10600,11590,3.02,خروج مستمر پول حقیقی | رشد عمودی (200٪ در ۶۰ روز، 20٪ بالای MA50) | 174٪ بالای MA200 | صف فروش در ۵ روز اخیر
بزندگی,بیمه زندگی آگاه,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,74.9,پرریسک؛ صفی/رشد عمودی,100,70,98.5,25,6400,20260926,15.5,36.8,125.2,86.6,22.7,46.1,134,94,5,0,true,75.9,2.38,above,0,1.47,4840,,24.2,30.79,102.83,27.2,3.42,328,19.51,,,6247,6095,6858,7163,1.5,اشباع خرید | فاصله زیاد از MA20 | رشد عمودی (125٪ در ۶۰ روز، 46٪ بالای MA50) | عرضه حقوقی به حقیقی (-26 میلیارد تومان در ۲۰ روز) | 134٪ بالای MA200 | نقدشوندگی کمتر از ۱۰ میلیارد تومان
فتوسا,تولید و توسعه سرب روی ایرانیان,فلزات اساسی,74.6,پرریسک؛ صفی/رشد عمودی,100,65,46.6,80,6750,20260926,-4.8,18.8,99.3,60.7,6.5,22.8,100.1,65.1,9,1,false,53.4,3.33,above,-8.2,1.2,5805,7350,-20.38,5.62,1.34,4.33,16.09,1389,4.86,8.05,-39.6,6525,6301,7350,7799,1.34,سهم صفی: 9 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | عرضه حقوقی به حقیقی (-4 میلیارد تومان در ۲۰ روز) | 100٪ بالای MA200 | صف فروش در ۵ روز اخیر
ورازی,بیمه رازی,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,74.3,زیر نظر,100,75,97.2,20,1682,20260926,4.9,39.9,101.7,63.1,17.1,34.6,74.2,77.4,6,1,true,49.7,3.24,above,-6.4,1.23,1295,,4.9,22,1.53,6.01,6.25,18,93.44,,,1627,1573,1846,1955,1.5,فاصله زیاد از MA20 | سهم صفی: 6 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (102٪ در ۶۰ روز، 35٪ بالای MA50) | P/E بالا (93) | عرضه حقوقی به حقیقی (-25 میلیارد تومان در ۲۰ روز) | 74٪ بالای MA200 | نقدشوندگی کمتر از ۱۰ میلیارد تومان | صف فروش در ۵ روز اخیر
ثرود,سرمایه‌گذاری مسکن زاینده رود,انبوه سازی، املاک و مستغلات,74.3,پرریسک؛ صفی/رشد عمودی,100,90,43,62,6430,20260926,-3.5,20.2,65.2,26.6,7.1,24,72.2,65.6,6,2,true,56.1,3.47,above,-5.9,1.11,5690,6830,0.52,3.16,0.64,-3,7.51,595,10.81,23.59,-54.2,6207,5984,6830,7276,0.9,سهم صفی: 6 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | عرضه حقوقی به حقیقی (-3 میلیارد تومان در ۲۰ روز) | 72٪ بالای MA200 | سرانه خرید ضعیف (0.64) | نقدشوندگی کمتر از ۱۰ میلیارد تومان | صف فروش در ۵ روز اخیر
کربن,کانی کربن طبس,استخراج زغال سنگ,74,قوی ولی پرریسک؛ فعلاً ورود نه,90,65,54,82,9560,20260926,0.2,-0.9,69.2,30.6,-5.7,13.4,75.2,52.6,3,0,false,42.8,3.67,above,-16.1,0.28,9050,11400,0.01,-46.54,1.28,0.76,23.95,1449,6.6,15.48,-57.4,9209,8875,11400,12102,2.68,خروج مستمر پول حقیقی | 75٪ بالای MA200 | حد ضرر دور (7.2٪)
خپویش,سازه‌ پویش‌,خودرو و ساخت قطعات,73.9,پرریسک؛ صفی/رشد عمودی,100,70,99.5,20,5160,20260926,11.7,41.4,75.4,36.8,22.5,46.9,74.7,90,10,0,true,58.5,2.72,above,0,1.32,4001,,3.98,26.43,7.33,16.57,6.53,196,26.33,,,5020,4880,5581,5861,1.5,اشباع خرید | فاصله زیاد از MA20 | سهم صفی: 10 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (75٪ در ۶۰ روز، 47٪ بالای MA50) | عرضه حقوقی به حقیقی (-23 میلیارد تومان در ۲۰ روز) | 75٪ بالای MA200 | نقدشوندگی کمتر از ۱۰ میلیارد تومان
