symbol,name,sector,score,signal,trend,momentum,money,value,close,lastDate,ret5,ret20,ret60,rs60,vsSma20,vsSma50,vsSma200,rsi,lockedDays20,sellQueueDays5,macdAboveSignal,adx,atrPct,cloud,fromHigh52,volRatio,support1,resistance1,netReal5B,netReal20B,power5,smt5B,liquidityB,eps,pe,sectorPE,peVsSector,entryLow,stop,target1,target2,rr,flags
ولساپا,لیزینگ رایان‌ سایپا,سایر واسطه گریهای مالی,88.9,پرریسک؛ صفی/رشد عمودی,100,70,99.5,80,1465,20260926,10.3,40.2,72.7,34.1,23.1,46.7,94.7,88,8,0,true,57,2.7,above,0,1.29,1076,,17.5,50.1,14.43,34.77,16.32,335,4.37,9.94,-56,1425,1386,1584,1663,1.5,اشباع خرید | فاصله زیاد از MA20 | سهم صفی: 8 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | رشد عمودی (73٪ در ۶۰ روز، 47٪ بالای MA50) | عرضه حقوقی به حقیقی (-44 میلیارد تومان در ۲۰ روز) | 95٪ بالای MA200
پارس,پتروشیمی پارس,محصولات شیمیایی,87,قوی ولی پرشده؛ منتظر پولبک,100,85,88,72,2925,20260926,10,25.1,50.2,11.6,15.3,28.7,39.7,75.7,5,0,true,40.5,3.02,above,-0.1,1.13,2798,,146.66,388.83,6.74,174.09,101.96,492,5.95,9.63,-38.3,2837,2754,3190,3367,1.55,فاصله زیاد از MA20 | عرضه حقوقی به حقیقی (-272 میلیارد تومان در ۲۰ روز) | شناوری کم (6٪)
سجام,مجتمع سیمان غرب آسیا,سیمان، آهک و گچ,86,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,100,84,60,10360,20260926,6.3,23.3,41.9,3.3,9.5,20.2,103.4,68.7,4,0,true,33.3,3.55,above,-1.3,0.71,9305,,12.63,51.27,1.42,6.27,22.7,1760,5.89,6.69,-12,9992,9441,11463,12199,1.2,واگرایی منفی RSI | عرضه حقوقی به حقیقی (-49 میلیارد تومان در ۲۰ روز) | 103٪ بالای MA200 | واگرایی منفی | حد ضرر دور (8.9٪)
خیمن,ایمن خودرو شرق,خودرو و ساخت قطعات,83.6,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,95,65,78.6,90,5060,20260926,5.6,-8.2,78.5,39.9,1.7,8.4,52.5,59.2,2,0,false,25.9,3.67,above,-10.4,1.16,4930,5310,19.36,16.28,1.58,35.37,24.66,1533,3.3,5.87,-43.8,4930,4837,5310,5650,1.12,عرضه حقوقی به حقیقی (-9 میلیارد تومان در ۲۰ روز) | 53٪ بالای MA200
ثاخت,بین‌المللی‌توسعه‌ساختمان,انبوه سازی، املاک و مستغلات,83.3,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,75,73,80,787,20260926,7.4,2.9,44.7,6.1,3.7,13.5,52.5,62.2,3,0,false,27.9,3.39,above,-2.6,1.44,740,808,16.49,11.31,3.54,-26.98,33.09,199,3.95,6.61,-40.2,760,727,808,861,0.35,53٪ بالای MA200 | حد ضرر دور (7.7٪)
وبانک,سرمایه گذاری گروه توسعه ملی,شرکتهای چند رشته ای صنعتی,81.8,پرریسک؛ صفی/رشد عمودی,100,65,83.4,72,12190,20260926,1.4,28,49.3,10.7,6.2,25.8,68.9,69.6,8,0,false,55.9,3.61,above,-3.2,0.66,11590,12545,40.46,202.77,1.45,0.19,171.51,2109,5.78,10.88,-46.9,11750,11370,12545,13425,0.43,واگرایی منفی RSI | سهم صفی: 8 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | عرضه حقوقی به حقیقی (-109 میلیارد تومان در ۲۰ روز) | 69٪ بالای MA200 | واگرایی منفی
والماس,س. الماس حکمت ایرانیان,سرمایه گذاریها,81.8,پرریسک؛ صفی/رشد عمودی,100,90,53,82,2816,20260926,-4.7,27.1,67.5,28.9,8.5,23.4,73.2,64.3,10,2,true,58.8,3.21,above,-10.1,2.58,2135,3132,12.21,18.71,0.4,-44.78,9.91,462,6.1,8.73,-30.2,2726,2635,3132,3313,1.75,سهم صفی: 10 روز از ۲۰ روز در صف (ریسک نقدشوندگی و اجرای حد ضرر) | عرضه حقوقی به حقیقی (-24 میلیارد تومان در ۲۰ روز) | 73٪ بالای MA200 | سرانه خرید ضعیف (0.40) | نقدشوندگی کمتر از ۱۰ میلیارد تومان | صف فروش در ۵ روز اخیر
آسیا,بیمه آسیا,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,81.1,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,90,75,76.4,80,3840,20260926,-0.8,3.5,56.6,18,-1.8,11.3,85,55.5,3,1,false,33.1,3.79,above,-8.1,0.91,3540,4170,19.85,57.4,1.1,12.17,23.25,1869,2.05,4.59,-55.2,3694,3476,4170,4461,0.91,عرضه حقوقی به حقیقی (-55 میلیارد تومان در ۲۰ روز) | 85٪ بالای MA200 | حد ضرر دور (9.5٪) | شناوری کم (14٪) | صف فروش در ۵ روز اخیر
شبصیر,تولیدات پتروشیمی قائد بصیر,محصولات شیمیایی,81,قوی؛ نزدیک مقاومت، منتظر شکست یا پولبک,100,65,80,72,15620,20260926,1.2,22.5,49.7,11.1,8.1,29.2,71.9,69.1,2,0,false,56.9,3.26,above,-2.6,1.07,14680,16000,21.73,54.78,1.28,26.53,31.46,2884,5.42,8.01,-32.4,15111,14426,16000,17017,0.32,عرضه حقوقی به حقیقی (-37 میلیارد تومان در ۲۰ روز) | 72٪ بالای MA200 | حد ضرر دور (7.6٪)
خکرمان,سرمایه گذاری آرمان گستر پاریز,خودرو و ساخت قطعات,80.9,پرریسک؛ صفی/رشد عمودی,100,75,63.5,80,11210,20260926,2.3,13.5,95.9,57.3,9.9,39.1,111,75.2,3,0,true,57,3.72,above,-4.5,1.49,10205,,11.7,51.14,0.65,-98.66,31.04,4303,2.61,5.87,-55.6,10793,10166,12462,13297,1.2,رشد عمودی (96٪ در ۶۰ روز، 39٪ بالای MA50) | عرضه حقوقی به حقیقی (-54 میلیارد تومان در ۲۰ روز) | 111٪ بالای MA200 | سرانه خرید ضعیف (0.65) | حد ضرر دور (9.3٪)
